Problem: 0, Score: 6777 (max: 7615), PowerScore: 5, Rank: 5
Problem: 1, Score: 800 (max: 7408), PowerScore: 0, Rank: 36
Problem: 2, Score: 10398 (max: 10780), PowerScore: 5, Rank: 2
Problem: 3, Score: 8102 (max: 8102), PowerScore: 5, Rank: 1
Problem: 4, Score: 8406 (max: 16091), PowerScore: 5, Rank: 7
Problem: 5, Score: 6091 (max: 6091), PowerScore: 5, Rank: 1
Problem: 6, Score: 9901 (max: 10157), PowerScore: 5, Rank: 4
Problem: 7, Score: 5194 (max: 5194), PowerScore: 5, Rank: 1
Problem: 8, Score: 5958 (max: 19814), PowerScore: 0, Rank: 36
Problem: 9, Score: 2205 (max: 19896), PowerScore: 3, Rank: 19
Problem: 10, Score: 2400 (max: 6016), PowerScore: 0, Rank: 28
Problem: 11, Score: 2580 (max: 3423), PowerScore: 4, Rank: 4
Problem: 12, Score: 8394 (max: 9939), PowerScore: 5, Rank: 2
Problem: 13, Score: 1882 (max: 2060), PowerScore: 5, Rank: 2
Problem: 14, Score: 54490 (max: 92760), PowerScore: 5, Rank: 4
Problem: 15, Score: 3498 (max: 5022), PowerScore: 5, Rank: 6
Problem: 16, Score: 8298 (max: 8298), PowerScore: 5, Rank: 1
Problem: 17, Score: 1400 (max: 10288), PowerScore: 0, Rank: 28
Problem: 18, Score: 7514 (max: 26556), PowerScore: 5, Rank: 7
Problem: 19, Score: 1300 (max: 10316), PowerScore: 0, Rank: 30
Problem: 20, Score: 1744 (max: 7761), PowerScore: 0, Rank: 31
Problem: 21, Score: 620 (max: 2260), PowerScore: 0, Rank: 29
Problem: 22, Score: 2600 (max: 6578), PowerScore: 0, Rank: 31
Problem: 23, Score: 130 (max: 5312), PowerScore: 0, Rank: 56
Problem: 24, Score: 139434 (max: 182836), PowerScore: 5, Rank: 4
