Problem: 0, Score: 9233 (max: 12093), PowerScore: 7, Rank: 2
Problem: 1, Score: 5528 (max: 5880), PowerScore: 2, Rank: 4
Problem: 2, Score: 14372 (max: 14372), PowerScore: 7, Rank: 1
Problem: 3, Score: 11601 (max: 11601), PowerScore: 7, Rank: 1
Problem: 4, Score: 10480 (max: 15927), PowerScore: 7, Rank: 5
Problem: 5, Score: 8621 (max: 8746), PowerScore: 7, Rank: 2
Problem: 6, Score: 12909 (max: 14210), PowerScore: 7, Rank: 2
Problem: 7, Score: 7135 (max: 9634), PowerScore: 7, Rank: 4
Problem: 8, Score: 17233 (max: 18806), PowerScore: 6, Rank: 3
Problem: 9, Score: 4786 (max: 20116), PowerScore: 6, Rank: 11
Problem: 10, Score: 7760 (max: 10100), PowerScore: 7, Rank: 2
Problem: 11, Score: 4364 (max: 5882), PowerScore: 7, Rank: 2
Problem: 12, Score: 12986 (max: 12986), PowerScore: 7, Rank: 1
Problem: 13, Score: 2640 (max: 4214), PowerScore: 7, Rank: 2
Problem: 14, Score: 93970 (max: 103758), PowerScore: 8, Rank: 2
Problem: 15, Score: 5434 (max: 7830), PowerScore: 7, Rank: 4
Problem: 16, Score: 12364 (max: 13478), PowerScore: 7, Rank: 3
Problem: 17, Score: 6200 (max: 7614), PowerScore: 2, Rank: 5
Problem: 18, Score: 15156 (max: 26556), PowerScore: 7, Rank: 4
Problem: 19, Score: 6088 (max: 7442), PowerScore: 2, Rank: 4
Problem: 20, Score: 8910 (max: 9816), PowerScore: 7, Rank: 3
Problem: 21, Score: 1512 (max: 1606), PowerScore: 2, Rank: 4
Problem: 22, Score: 8314 (max: 10194), PowerScore: 6, Rank: 3
Problem: 23, Score: 850 (max: 6046), PowerScore: 2, Rank: 31
Problem: 24, Score: 139434 (max: 217502), PowerScore: 5, Rank: 7
