Problem: 0, Score: 10103 (max: 10207), PowerScore: 10, Rank: 2
Problem: 1, Score: 5564 (max: 5796), PowerScore: 2, Rank: 4
Problem: 2, Score: 15598 (max: 17595), PowerScore: 10, Rank: 2
Problem: 3, Score: 13128 (max: 13128), PowerScore: 10, Rank: 1
Problem: 4, Score: 12637 (max: 22846), PowerScore: 10, Rank: 9
Problem: 5, Score: 9772 (max: 9772), PowerScore: 10, Rank: 1
Problem: 6, Score: 13809 (max: 13809), PowerScore: 10, Rank: 1
Problem: 7, Score: 9330 (max: 9330), PowerScore: 10, Rank: 1
Problem: 8, Score: 17671 (max: 18952), PowerScore: 7, Rank: 2
Problem: 9, Score: 5337 (max: 27730), PowerScore: 8, Rank: 20
Problem: 10, Score: 8248 (max: 8248), PowerScore: 8, Rank: 1
Problem: 11, Score: 5770 (max: 5770), PowerScore: 10, Rank: 1
Problem: 12, Score: 14678 (max: 14678), PowerScore: 10, Rank: 1
Problem: 13, Score: 3494 (max: 4213), PowerScore: 10, Rank: 4
Problem: 14, Score: 102646 (max: 102646), PowerScore: 11, Rank: 1
Problem: 15, Score: 6686 (max: 8662), PowerScore: 10, Rank: 4
Problem: 16, Score: 13490 (max: 13490), PowerScore: 10, Rank: 1
Problem: 17, Score: 6210 (max: 7584), PowerScore: 2, Rank: 7
Problem: 18, Score: 17618 (max: 72896), PowerScore: 10, Rank: 4
Problem: 19, Score: 6088 (max: 7216), PowerScore: 2, Rank: 7
Problem: 20, Score: 10660 (max: 10660), PowerScore: 10, Rank: 1
Problem: 21, Score: 1522 (max: 1586), PowerScore: 2, Rank: 5
Problem: 22, Score: 8892 (max: 9020), PowerScore: 8, Rank: 2
Problem: 23, Score: 2312 (max: 5350), PowerScore: 2, Rank: 15
Problem: 24, Score: 241048 (max: 283130), PowerScore: 11, Rank: 5
