Problem: 0, Score: 10665 (max: 12539), PowerScore: 12, Rank: 3
Problem: 1, Score: 5564 (max: 6158), PowerScore: 2, Rank: 6
Problem: 2, Score: 16953 (max: 19907), PowerScore: 12, Rank: 5
Problem: 3, Score: 13717 (max: 13717), PowerScore: 12, Rank: 1
Problem: 4, Score: 12637 (max: 26928), PowerScore: 10, Rank: 12
Problem: 5, Score: 10345 (max: 11450), PowerScore: 12, Rank: 2
Problem: 6, Score: 14376 (max: 16565), PowerScore: 12, Rank: 2
Problem: 7, Score: 10200 (max: 11209), PowerScore: 12, Rank: 2
Problem: 8, Score: 17968 (max: 21316), PowerScore: 8, Rank: 5
Problem: 9, Score: 6133 (max: 29557), PowerScore: 9, Rank: 21
Problem: 10, Score: 8852 (max: 10592), PowerScore: 9, Rank: 3
Problem: 11, Score: 6378 (max: 7465), PowerScore: 12, Rank: 2
Problem: 12, Score: 15483 (max: 15916), PowerScore: 12, Rank: 2
Problem: 13, Score: 4142 (max: 4702), PowerScore: 12, Rank: 3
Problem: 14, Score: 102646 (max: 109796), PowerScore: 11, Rank: 3
Problem: 15, Score: 7270 (max: 11142), PowerScore: 12, Rank: 7
Problem: 16, Score: 14550 (max: 16096), PowerScore: 12, Rank: 2
Problem: 17, Score: 6210 (max: 7716), PowerScore: 2, Rank: 10
Problem: 18, Score: 17904 (max: 72896), PowerScore: 12, Rank: 6
Problem: 19, Score: 6088 (max: 7458), PowerScore: 2, Rank: 10
Problem: 20, Score: 10888 (max: 12464), PowerScore: 12, Rank: 2
Problem: 21, Score: 1522 (max: 1606), PowerScore: 2, Rank: 6
Problem: 22, Score: 9190 (max: 10630), PowerScore: 9, Rank: 2
Problem: 23, Score: 2312 (max: 11022), PowerScore: 2, Rank: 18
Problem: 24, Score: 241048 (max: 306206), PowerScore: 11, Rank: 5
